account_id,made_last_payment_on_time,latest_communication_channel,minimum_payment,previous_payment_amount,product,last_reminder_sent_days,debt_to_income_ratio,opened_last_communication,used_chat_feature,count_comms_sent_last_30d,homeowner,ever_missed_payment,age_of_debt_yrs,total_balance,latest_communication_dow
0,0,Email,22.0,3.58,Credit Card,9,1.21,0,1,0,1,1,1.0,1213.0,Monday
1,0,SMS,23.0,3.0,Credit Card,8,2.415,0,0,0,0,1,1.6,44.48,Monday
2,0,SMS,30.0,8.08,Deferred Repayment,11,5.0,0,0,0,1,1,2.8,58.04,Monday
3,1,SMS,22.0,12.42,Deferred Repayment,4,0.165,1,1,6,1,1,0.08,42.52,Friday
4,1,Email,20.0,19.0,Credit Card,8,1.5,1,0,0,0,1,0.6,159.0,Monday
5,1,SMS,16.0,8.17,Credit Card,3,0.04,1,0,9,0,1,1.0,31.06,Tuesday
6,0,Email,17.0,16.0,Credit Card,10,5.25,0,0,0,0,1,0.6,101.0,Monday
7,1,SMS,59.0,14.0,Credit Card,6,0.0,1,0,2,0,0,0.43,561.0,Tuesday
8,0,Email,28.0,5.5,Deferred Repayment,8,1.71,0,0,0,0,1,1.76,538.0,Tuesday
9,0,SMS,56.0,25.5,Credit Card,13,2.5,1,0,7,1,1,1.0,109.38,Tuesday
10,1,Email,34.0,0.67,Credit Card,13,0.415,1,1,0,1,1,2.53,858.0,Tuesday
11,1,Email,41.0,6.0,Credit Card,1,0.085,1,0,0,1,0,4.7,81.27,Tuesday
12,0,Email,21.0,0.5,Deferred Repayment,14,1.375,1,1,0,1,1,1.4,211.0,Tuesday
13,1,Email,35.0,14.0,Credit Card,13,0.585,1,1,10,1,0,0.08,1001.0,Tuesday
14,0,Email,59.0,25.0,Credit Card,6,0.5,0,0,0,1,1,3.2,114.93,Monday
15,1,Email,48.0,25.08,Credit Card,3,0.29,0,1,0,0,0,0.08,2691.0,Monday
16,1,Email,30.0,35.5,Credit Card,7,0.75,1,0,7,1,1,3.3,58.04,Monday
17,1,SMS,19.0,11.75,Credit Card,6,1.75,1,0,1,0,0,0.88,592.0,Monday
18,0,Email,20.0,0.08,Deferred Repayment,13,0.21,0,0,0,0,1,1.4,39.24,Monday
19,1,SMS,22.0,4.33,Credit Card,11,0.0,1,1,6,0,0,1.29,3258.0,Monday
20,0,SMS,28.0,3.5,Credit Card,14,1.75,0,1,0,0,1,2.6,1005.0,Monday
21,0,SMS,19.0,1.0,Deferred Repayment,8,9.0,1,0,0,1,1,1.6,37.61,Monday
22,0,Email,41.0,17.0,Credit Card,9,1.085,0,0,0,0,1,1.68,80.78,Monday
23,0,Email,42.0,2.5,Credit Card,9,1.5,1,0,0,0,1,1.6,81.58,Monday
24,0,Email,20.0,10.5,Credit Card,8,0.125,0,0,0,0,1,0.8,351.0,Monday
